name,time,link,image
Vilabertrin,1913,https://www.wikiart.org/en/salvador-dali/vilabertrin,https://uploads4.wikiart.org/images/salvador-dali/vilabertrin.jpg
Landscape,1914,https://www.wikiart.org/en/salvador-dali/landscape-near-figueras,https://uploads4.wikiart.org/images/salvador-dali/landscape-near-figueras.jpg
Dutch Interior,1914,https://www.wikiart.org/en/salvador-dali/dutch-interior,https://uploads4.wikiart.org/images/salvador-dali/dutch-interior.jpg
Landscape Near Ampurdan,1914,https://www.wikiart.org/en/salvador-dali/landscape-near-ampurdan-2,https://uploads4.wikiart.org/images/salvador-dali/landscape-near-ampurdan-2.jpg
Fiesta in Figueres,1916,https://www.wikiart.org/en/salvador-dali/fiesta-in-figueres-1916,https://uploads4.wikiart.org/images/salvador-dali/fiesta-in-figueres-1916.jpg
Landscape,1916,https://www.wikiart.org/en/salvador-dali/landscape-2,https://uploads4.wikiart.org/images/salvador-dali/landscape-2.jpg
Landscape with Animals,1916,https://www.wikiart.org/en/salvador-dali/landscape-with-animals,https://uploads4.wikiart.org/images/salvador-dali/landscape-with-animals.jpg
Cadaques,1917,https://www.wikiart.org/en/salvador-dali/cadaques-2,https://uploads4.wikiart.org/images/salvador-dali/cadaques-2.jpg
Boat,1918,https://www.wikiart.org/en/salvador-dali/boat,https://uploads4.wikiart.org/images/salvador-dali/boat.jpg
Crepuscular Old Man,1918,https://www.wikiart.org/en/salvador-dali/crepuscular-old-man-1918,https://uploads4.wikiart.org/images/salvador-dali/crepuscular-old-man-1918.jpg
Duck,1918,https://www.wikiart.org/en/salvador-dali/duck,https://uploads4.wikiart.org/images/salvador-dali/duck.jpg
Port of Cadaques (Night),1918,https://www.wikiart.org/en/salvador-dali/port-of-cadaques-night,https://uploads4.wikiart.org/images/salvador-dali/port-of-cadaques-night.jpg
Portrait of Lucia,1918,https://www.wikiart.org/en/salvador-dali/portrait-of-lucia,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-lucia.jpg
Still Life,1918,https://www.wikiart.org/en/salvador-dali/still-life,https://uploads4.wikiart.org/images/salvador-dali/still-life.jpg
